Fecha,Tasa
2019-03-08,983237
2019-03-11,1015620
2019-03-12,1015620
2019-03-13,1016132
2019-03-14,995178
2019-03-15,993849
2019-03-18,998451
2019-03-19,1007582
2019-03-20,1016665
2019-03-21,1001957
2019-03-22,1007122
2019-03-25,1000069
2019-03-26,981788
2019-03-27,973112
2019-03-28,971662
2019-03-29,927638
2019-04-01,947296
2019-04-03,958374
2019-04-04,966952
2019-04-05,998988
2019-04-08,1030749
2019-04-09,1032516
2019-04-10,1030274
2019-04-11,1026234
2019-04-12,1011645
2019-04-15,1012017
2019-04-16,1024039
2019-04-17,1079988
2019-04-22,1071835
2019-04-23,1054000
2019-04-24,1028264
2019-04-25,994873
2019-04-26,935873
2019-04-29,945141
2019-04-30,942814
2019-05-02,962536
2019-05-03,970169
2019-05-06,990798
2019-05-07,998902
2019-05-08,1040965
2019-05-09,1065847
2019-05-10,1091899
2019-05-13,1070395
2019-05-14,1052354
2019-05-15,1035247
2019-05-16,1037932
2019-05-17,1042763
2019-05-20,1055828
2019-05-21,1079580
2019-05-22,1068238
2019-05-23,1054894
2019-05-24,1062542
2019-05-27,1047944
2019-05-28,1035509
2019-05-29,1029241
2019-05-30,991349
2019-05-31,982203
2019-06-03,1018718
2019-06-04,1033938
2019-06-05,1078350
2019-06-06,1135515
2019-06-07,1140577
2019-06-10,1139902
2019-06-11,1138401
2019-06-12,1115801
2019-06-13,1124999
2019-06-14,1139425
2019-06-18,1119473
2019-06-19,1115001
2019-06-21,1140820
2019-06-24,1142999
2019-06-25,1128232
2019-06-26,1096273
2019-06-27,1097454
2019-06-28,1105776
2019-07-01,1128317
2019-07-02,1163508
2019-07-03,1234207
2019-07-04,1226119
2019-07-05,1226026
2019-07-10,1238739
2019-07-11,1230775
2019-07-12,1241148
2019-07-15,1216731
2019-07-16,1203531
2019-07-17,1187216
2019-07-18,1168639
2019-07-19,1153514
2019-07-22,1199614
2019-07-23,1185103
2019-07-24,1184978
2019-07-25,1168904
2019-07-26,1190732
2019-07-29,1237663
2019-07-30,1288966
2019-07-31,1278657
2019-08-01,1305254
2019-08-02,1294491
2019-08-05,1272156
2019-08-06,1274375
2019-08-07,1272101
2019-08-08,1275932
2019-08-09,1288868
2019-08-12,1131598
2019-08-13,1145468
2019-08-14,1174928
2019-08-15,1211560
2019-08-16,1280223
2019-08-20,1325357
2019-08-21,1294576
2019-08-22,1290134
2019-08-23,1286080
2019-08-26,1271228
2019-08-27,1316469
2019-08-28,1261393
2019-08-29,1154324
2019-08-30,1038678
2019-09-02,963486
2019-09-03,1005503
2019-09-04,1032573
2019-09-05,1070310
2019-09-06,1109555
2019-09-09,1108632
2019-09-10,1111780
2019-09-11,1107682
2019-09-12,1125341
2019-09-13,1150577
2019-09-16,1150796
2019-09-17,1110690
2019-09-18,1126960
2019-09-19,1126794
2019-09-20,1105079
2019-09-23,1110916
2019-09-24,1126253
2019-09-25,1115640
2019-09-26,1111688
2019-09-27,1127732
2019-09-30,1084839
2019-10-01,1136600
2019-10-02,1154240
2019-10-03,1171982
2019-10-04,1172779
2019-10-07,1165306
2019-10-08,1159387
2019-10-09,1124072
2019-10-10,1138454
2019-10-11,1126154
2019-10-15,1135609
2019-10-16,1118098
2019-10-17,1102208
2019-10-18,1088762
2019-10-21,1033403
2019-10-22,974675
2019-10-23,919732
2019-10-24,880405
2019-10-25,778978
2019-10-28,794719
2019-10-29,795860
2019-10-30,754901
2019-10-31,796760
2019-11-01,831833
2019-11-04,863362
2019-11-05,905810
2019-11-07,906566
2019-11-08,865050
2019-11-11,838384
2019-11-12,817284
2019-11-13,805410
2019-11-14,797868
2019-11-15,797440
2019-11-19,798387
2019-11-20,785558
2019-11-21,773419
2019-11-22,773457
2019-11-25,739802
2019-11-26,768307
2019-11-27,741815
2019-11-28,721203
2019-11-29,729693
2019-12-02,790900
2019-12-03,813806
2019-12-04,849076
2019-12-05,821952
2019-12-06,761850
2019-12-09,701610
2019-12-10,679345
2019-12-11,681511
2019-12-12,682859
2019-12-13,683881
2019-12-16,685371
2019-12-17,687984
2019-12-18,690803
2019-12-19,693182
2019-12-20,750230
2019-12-23,752413
2019-12-26,755399
2019-12-27,758453
2019-12-30,760185
2020-01-02,761689
2020-01-03,763029
2020-01-06,764862
2020-01-07,766838
2020-01-08,768203
2020-01-09,769723
2020-01-10,771003
2020-01-13,772755
2020-01-14,774643
2020-01-15,775947
2020-01-16,777399
2020-01-17,778643
2020-01-20,780344
2020-01-21,1289165
2020-01-22,1157081
2020-01-23,1571873
2020-01-24,1440958
2020-01-27,1261870
2020-01-28,1413907
2020-01-29,1413907
2020-01-30,1472838
2020-01-31,1472838
2020-02-03,1472838
2020-02-04,1403625
2020-02-05,1403625
2020-02-06,1341272
2020-02-07,1341272
2020-02-10,1341272
2020-02-11,1320868
2020-02-12,1320868
2020-02-13,1317678
2020-02-14,1317678
2020-02-17,1317678
