Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-07-26 00:00:00-03:00,1.5145864486694336,1.532096101704679,1.4883219691165654,1.5145864486694336,422242,0.0,0.0
2000-07-27 00:00:00-03:00,1.5320961475372314,1.5408509743167542,1.514586493978186,1.5320961475372314,344044,0.0,0.0
2000-07-28 00:00:00-03:00,1.5058317184448242,1.5233413725997547,1.4970768913673589,1.5058317184448242,561980,0.0,0.0
2000-07-31 00:00:00-03:00,1.5320961475372314,1.5408509743167542,1.4795671868600948,1.5320961475372314,381111,0.0,0.0
2000-08-01 00:00:00-03:00,1.5408512353897095,1.628399622384399,1.4795674375494765,1.5408512353897095,1968000,0.0,0.0
2000-08-02 00:00:00-03:00,1.5583605766296387,1.567115403121262,1.540850923646392,1.5583605766296387,857294,0.0,0.0
2000-08-03 00:00:00-03:00,1.5058317184448242,1.5583606809096158,1.5058317184448242,1.5058317184448242,698377,0.0,0.0
2000-08-04 00:00:00-03:00,1.5058317184448242,1.53209619967722,1.4970768913673589,1.5058317184448242,532284,0.0,0.0
2000-08-07 00:00:00-03:00,1.523341178894043,1.523341178894043,1.4883218750371823,1.523341178894043,373483,0.0,0.0
2000-08-08 00:00:00-03:00,1.5320961475372314,1.5320961475372314,1.5058316671986631,1.5320961475372314,760704,0.0,0.0
2000-08-09 00:00:00-03:00,1.4795671701431274,1.523341303546157,1.4795671701431274,1.4795671701431274,408886,0.0,0.0
2000-08-10 00:00:00-03:00,1.4533026218414307,1.497076860697755,1.4182833142489866,1.4533026218414307,618112,0.0,0.0
2000-08-11 00:00:00-03:00,1.4095284938812256,1.4533026285745865,1.392018840003881,1.4095284938812256,1544000,0.0,0.0
2000-08-14 00:00:00-03:00,1.4095284938812256,1.4095284938812256,1.4095284938812256,1.4095284938812256,0,0.0,0.0
2000-08-15 00:00:00-03:00,1.313225269317627,1.3569994032152408,1.313225269317627,1.313225269317627,922976,0.0,0.0
2000-08-16 00:00:00-03:00,1.313225269317627,1.313225269317627,1.313225269317627,1.313225269317627,0,0.0,0.0
2000-08-17 00:00:00-03:00,1.3569996356964111,1.3832642249003964,1.278206181181812,1.3569996356964111,1730000,0.0,0.0
2000-08-18 00:00:00-03:00,1.3307348489761353,1.3307348489761353,1.3132251963894643,1.3307348489761353,519120,0.0,0.0
2000-08-21 00:00:00-03:00,1.3307348489761353,1.3307348489761353,1.3307348489761353,1.3307348489761353,0,0.0,0.0
2000-08-22 00:00:00-03:00,1.3745090961456299,1.392018748876722,1.3132252072210455,1.3745090961456299,720588,0.0,0.0
