fecha,indice_tramo1
1999-09-01,47.88415
1999-10-01,47.87666
1999-11-01,47.72533
1999-12-01,47.69565
2000-01-01,48.09879
2000-02-01,48.10076
2000-03-01,47.84662
2000-04-01,47.79282
2000-05-01,47.60705
2000-06-01,47.51903
2000-07-01,47.72541
2000-08-01,47.62273
2000-09-01,47.5496
2000-10-01,47.63481
2000-11-01,47.40065
2000-12-01,47.34766
2001-01-01,47.38574
2001-02-01,47.2778
2001-03-01,47.36788
2001-04-01,47.68451
2001-05-01,47.71537
2001-06-01,47.37121
2001-07-01,47.21627
2001-08-01,47.0474
2001-09-01,47.01178
2001-10-01,46.80438
2001-11-01,46.65088
2001-12-01,46.61541
2002-01-01,47.68412
2002-02-01,49.18163
2002-03-01,51.127
2002-04-01,56.4384
2002-05-01,58.702
2002-06-01,60.8282
2002-07-01,62.7678
2002-08-01,64.2378
2002-09-01,65.1055
2002-10-01,65.2478
2002-11-01,65.58
2002-12-01,65.7028
2003-01-01,66.5696
2003-02-01,66.9464
2003-03-01,67.3372
2003-04-01,67.3744
2003-05-01,67.116
2003-06-01,67.0585
2003-07-01,67.3563
2003-08-01,67.3727
2003-09-01,67.3994
2003-10-01,67.7967
2003-11-01,67.9639
2003-12-01,68.1082
2004-01-01,68.3945
2004-02-01,68.4633
2004-03-01,68.8695
2004-04-01,69.4604
2004-05-01,69.9679
2004-06-01,70.3639
2004-07-01,70.6882
2004-08-01,70.931
2004-09-01,71.3774
2004-10-01,71.6599
2004-11-01,71.6615
2004-12-01,72.2606
2005-01-01,73.3343
2005-02-01,74.028
2005-03-01,75.1723
2005-04-01,75.5409
2005-05-01,75.9947
2005-06-01,76.6907
2005-07-01,77.4608
2005-08-01,77.7992
2005-09-01,78.704
2005-10-01,79.319
2005-11-01,80.2759
2005-12-01,81.1696
2006-01-01,82.2052
2006-02-01,82.531
2006-03-01,83.5258
2006-04-01,84.3381
2006-05-01,84.7328
2006-06-01,85.1431
2006-07-01,85.6685
2006-08-01,86.1504
2006-09-01,86.9252
2006-10-01,87.6692
2006-11-01,88.2896
2006-12-01,89.1559
2007-01-01,90.1761
2007-02-01,90.4483
2007-03-01,91.1415
2007-04-01,91.8198
2007-05-01,92.2031
2007-06-01,92.6105
2007-07-01,93.0702
2007-08-01,93.6166
2007-09-01,94.3669
2007-10-01,95.0112
2007-11-01,95.8219
2007-12-01,96.7107
2008-01-01,97.611
